Overall rank,Country Code,Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP,Family,Health,Freedom,Corruption,Generosity,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
119,HTI,Haiti,Latin America and Caribbean,French,Christian,10696000,27560,3.866,0.324,0.616,0.336,0.09,0.124,0.448,787.938,50.64,#N/A,7.093064775,0.465,9.36,15.31,21.91,14.05,#N/A,41.1,86.9,0.1,10.6,0,0,2.2,0.3,0,34.7,57.1,4.57,27,3.1,#N/A,6.68,80,5.8,0.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.9,8.89
104,HUN,Hungary,Eastern Europe,Europe (other),Christian,9778000,90530,5.33,1.204,1.256,0.738,0.232,0.03,0.09,14545.614,52.48,0.6742,22.22346789,0.33,16.935,35.05,41.055,6.81,37.74,30.6,81,0,18.6,0,0,0,0,0.1,#N/A,71.9,6.63,33,1.45,14.57,2.5,173,11.4,0.72,28.8,127.14,46,55,88,82,0,#N/A,13.4
74,IDN,Indonesia,Southeastern Asia,Asia (other),Muslim,258383008,1811570,5.25,0.922,1.132,0.56,0.466,0.014,0.536,3752.324,49.64,0.6613,3.070581522,0.19,3.92,4.21,8.11,4.51,#N/A,39,9.9,87.2,0.1,1.7,0.7,0.3,0.1,0,20.1,56.6,6.48,27,2.39,51.71,0.4,99,0.8,0.58,#N/A,195.8,78,14,46,48,0,-0.4,6.42
117,IND,India,Southern Asia,Hindi,Hindu,1310151936,2973190,4.3,0.73,0.588,0.502,0.462,0.088,0.222,1885.966,48,0.6551,15.23474263,1.04,21,20.72,28.49,3.49,#N/A,37.8,2.5,14.4,0.07,79.5,0.8,0.5,2.3,0,30.3,34.9,6.9,27,2.3,58.08,3.08,34,5.7,0.52,#N/A,206.74,77,48,56,40,61,-0.4,7.19
18,IRL,Ireland,Northern Europe,English,Christian,4652000,68890,6.966,1.462,1.444,0.88,0.572,0.302,0.39,70459.408,50.51,0.7823,9.55455049,0.215,12.115,14.135,7.25,9.4,14.89,32.8,92,1.1,6.2,0.2,0.2,0.2,0,0,#N/A,63.7,9.24,29,1.85,10.6,0.87,79,13,1.05,#N/A,150.41,28,70,68,35,0,-4.9,6.4
110,IRN,Iran,Middle East and Northern Africa,Persian,Muslim,78492000,1628760,4.69,1.09,0.65,0.692,0.31,0.086,0.342,3135.612,49.38,0.5842,6.011070198,0.465,8.29,5.445,9.055,11.06,14.29,40.8,1.5,87.6,3.1,0.02,0,0,7.8,0,7.9,75.9,2.38,53,2.04,24.27,2.47,294,1,2.01,#N/A,216.09,58,41,43,59,0,-1.3,4.81
112,IRQ,Iraq,Middle East and Northern Africa,Arabic,Muslim,35572000,434128.0078,4.532,1.042,0.868,0.544,0.216,0.116,0.176,5352.22,49.44,#N/A,3.593004506,0.135,5.67,5.69,7.195,8.09,#N/A,29.5,0.8,99,0.1,0,0,0,0.06,0,18.7,70.9,3.74,20,3.97,39.6,10.08,126,0.4,1.66,#N/A,#N/A,80,38,52,68,0,8,4.97
2,ISL,Iceland,Northern Europe,Europe (other),Christian,330000,100250,7.51,1.386,1.49,0.918,0.62,0.14,0.42,65051.14,49.83,0.8731,12.04782356,0.27,11.555,16.03,30.595,3.98,36.73,26.8,95,0.2,3.5,0.3,0.4,0.5,0.2,0,#N/A,93.9,9.58,38,1.8,5.55,0.89,37,9.1,0.7,141.4,91.18,#N/A,#N/A,#N/A,#N/A,#N/A,-1.3,6.6
11,ISR,Israel,Middle East and Northern Africa,Europe (other),Jewish,7978000,21640,7.142,1.306,1.324,0.902,0.416,0.122,0.318,39800.282,50.41,0.7032,6.155604365,0.195,6.9,9.76,15.67,5.25,27.69,39,2,18.6,3.1,0,0.3,0.2,0.1,75.6,#N/A,92.6,7.86,21,3.09,20.83,1.36,234,3.8,0.7,49.2,150.29,13,54,47,81,0,0.5,5.3
50,ITA,Italy,Southern Europe,Europe (other),Christian,60578000,294140,6.022,1.31,1.334,0.928,0.244,0.03,0.174,32257.264,51.48,0.6885,7.428335571,0.125,6.05,9.65,13.86,11.9,47.06,35.9,83.3,3.7,12.4,0.1,0.2,0.1,0.1,0.08,#N/A,71,7.52,32,1.35,17.09,0.57,101,7.5,1.22,40.3,133.82,50,76,70,75,0,5.5,10.7
